Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5
2024-05-26 16:12:07,87,0,111,95,234
2024-05-26 16:12:07,90,0,109,93,234
2024-05-26 16:12:07,95,0,107,92,234
2024-05-26 16:12:07,100,0,108,92,235
2024-05-26 16:12:07,101,0,111,93,234
2024-05-26 16:12:07,103,0,113,91,234
2024-05-26 16:12:07,104,0,114,89,234
2024-05-26 16:12:07,101,0,115,89,234
2024-05-26 16:12:07,92,0,115,91,234
2024-05-26 16:12:07,91,0,116,91,235
2024-05-26 16:12:07,93,0,118,89,234
2024-05-26 16:12:07,95,0,116,86,235
2024-05-26 16:12:07,99,0,114,86,234
2024-05-26 16:12:07,106,0,111,85,234
2024-05-26 16:12:07,107,0,113,85,234
2024-05-26 16:12:07,107,0,114,83,235
2024-05-26 16:12:07,108,0,112,79,234
2024-05-26 16:12:07,106,0,113,77,235
2024-05-26 16:12:07,100,0,116,78,234
2024-05-26 16:12:07,93,0,121,80,234
2024-05-26 16:12:07,88,0,122,79,234
2024-05-26 16:12:07,92,0,121,76,234
2024-05-26 16:12:07,101,2,121,71,235
2024-05-26 16:12:07,122,121,126,65,233
2024-05-26 16:12:07,130,122,110,65,234
2024-05-26 16:12:07,132,118,99,66,234
2024-05-26 16:12:07,130,117,98,69,235
2024-05-26 16:12:07,128,116,102,72,234
2024-05-26 16:12:07,127,116,106,75,234
2024-05-26 16:12:07,130,116,106,76,234
2024-05-26 16:12:07,136,116,111,78,234
2024-05-26 16:12:07,142,116,111,79,234
2024-05-26 16:12:07,147,116,107,80,234
2024-05-26 16:12:07,149,117,106,83,234
2024-05-26 16:12:07,142,116,107,85,234
2024-05-26 16:12:07,132,116,109,87,234
2024-05-26 16:12:07,125,116,109,88,235
2024-05-26 16:12:07,118,116,109,90,234
2024-05-26 16:12:07,108,116,113,91,234
2024-05-26 16:12:07,103,116,118,91,235
2024-05-26 16:12:07,97,116,121,93,234
2024-05-26 16:12:07,91,116,119,94,235
2024-05-26 16:12:07,91,116,118,94,234
2024-05-26 16:12:07,89,117,117,93,234
2024-05-26 16:12:07,83,117,114,90,234
2024-05-26 16:12:07,79,116,111,87,234
2024-05-26 16:12:07,83,117,108,85,234
2024-05-26 16:12:07,90,117,107,85,234
2024-05-26 16:12:07,100,117,111,85,234
2024-05-26 16:12:07,114,117,114,85,234
2024-05-26 16:12:07,116,116,115,84,234
2024-05-26 16:12:07,110,116,113,84,234
2024-05-26 16:12:07,105,117,109,85,234
2024-05-26 16:12:07,103,123,108,85,234
2024-05-26 16:12:07,101,114,109,82,234
2024-05-26 16:12:07,92,91,113,80,234
2024-05-26 16:12:07,83,65,116,80,234
2024-05-26 16:12:07,78,44,116,81,234
2024-05-26 16:12:07,71,48,118,80,235
2024-05-26 16:12:07,66,58,119,79,234
2024-05-26 16:12:07,60,51,118,78,234
2024-05-26 16:12:07,49,24,120,79,234
2024-05-26 16:12:07,37,9,123,79,235
2024-05-26 16:12:07,28,17,123,78,234
2024-05-26 16:12:07,26,19,123,78,234
2024-05-26 16:12:07,23,7,125,78,234
2024-05-26 16:12:07,18,0,127,79,234
2024-05-26 16:12:07,18,0,127,79,235
2024-05-26 16:12:07,28,0,122,78,235
2024-05-26 16:12:07,41,0,119,77,234
2024-05-26 16:12:07,52,0,117,76,234
2024-05-26 16:12:07,61,0,112,77,235
2024-05-26 16:12:07,70,0,107,77,235
2024-05-26 16:12:07,88,0,109,77,235
2024-05-26 16:12:07,99,0,109,76,234
2024-05-26 16:12:07,108,0,110,76,234
2024-05-26 16:12:07,114,0,116,77,233
2024-05-26 16:12:07,116,0,118,78,234
2024-05-26 16:12:07,120,0,114,77,234
2024-05-26 16:12:07,128,0,112,76,234
2024-05-26 16:12:07,138,0,113,76,235
2024-05-26 16:12:07,140,0,111,76,234
2024-05-26 16:12:07,136,0,109,76,234
2024-05-26 16:12:07,131,0,110,75,234
2024-05-26 16:12:07,124,0,109,73,235
2024-05-26 16:12:07,119,0,113,74,235
2024-05-26 16:12:07,114,0,114,74,234
2024-05-26 16:12:07,112,0,120,76,234
2024-05-26 16:12:07,110,0,122,77,234
2024-05-26 16:12:07,112,0,122,77,234
2024-05-26 16:12:07,115,0,120,79,234
2024-05-26 16:12:07,116,0,117,83,234
2024-05-26 16:12:07,114,0,116,87,234
2024-05-26 16:12:07,112,0,117,89,234
2024-05-26 16:12:07,112,0,116,88,235
2024-05-26 16:12:07,114,0,115,87,234
2024-05-26 16:12:07,112,0,112,88,234
2024-05-26 16:12:07,106,0,108,90,234
2024-05-26 16:12:07,101,0,107,91,234
2024-05-26 16:12:07,93,0,109,90,234
2024-05-26 16:12:07,81,0,111,91,234
2024-05-26 16:12:07,67,0,112,91,234
2024-05-26 16:12:07,61,0,114,93,235
2024-05-26 16:12:07,60,0,112,94,235
2024-05-26 16:12:07,55,0,109,92,234
2024-05-26 16:12:07,50,0,110,91,234
2024-05-26 16:12:07,48,0,109,90,234
2024-05-26 16:12:07,42,0,108,89,234
2024-05-26 16:12:07,34,0,112,87,234
2024-05-26 16:12:07,0,117,84,235,234
2024-05-26 16:12:07,36,0,120,82,234
2024-05-26 16:12:07,40,0,121,81,234
2024-05-26 16:12:07,45,0,121,81,234
2024-05-26 16:12:08,49,0,121,81,234
2024-05-26 16:12:08,56,0,119,82,235
2024-05-26 16:12:08,65,0,115,81,234
2024-05-26 16:12:08,66,0,107,81,234
2024-05-26 16:12:08,64,0,102,80,234
2024-05-26 16:12:08,54,0,102,78,234
2024-05-26 16:12:08,42,0,105,75,234
2024-05-26 16:12:08,31,0,108,71,234
2024-05-26 16:12:08,26,0,110,68,234
2024-05-26 16:12:08,28,0,114,65,234
2024-05-26 16:12:08,33,0,119,62,234
2024-05-26 16:12:08,38,0,118,58,234
2024-05-26 16:12:08,48,0,120,49,234
2024-05-26 16:12:08,58,0,122,41,234
2024-05-26 16:12:08,70,0,123,36,234
2024-05-26 16:12:08,72,0,123,31,234
2024-05-26 16:12:08,73,0,121,20,234
2024-05-26 16:12:08,71,0,120,8,235
2024-05-26 16:12:08,63,0,122,0,234
2024-05-26 16:12:08,54,0,124,0,234
2024-05-26 16:12:08,49,0,121,0,234
2024-05-26 16:12:08,48,0,113,0,235
2024-05-26 16:12:08,47,11,113,0,234
2024-05-26 16:12:08,38,76,112,0,234
2024-05-26 16:12:08,31,110,111,0,234
2024-05-26 16:12:08,31,121,113,0,234
2024-05-26 16:12:08,42,121,117,0,234
2024-05-26 16:12:08,60,118,118,0,235
2024-05-26 16:12:08,81,116,115,0,234
2024-05-26 16:12:08,94,115,112,0,234
2024-05-26 16:12:08,102,115,110,0,234
2024-05-26 16:12:08,107,116,107,0,234
2024-05-26 16:12:08,108,116,105,0,234
2024-05-26 16:12:08,105,116,105,0,234
2024-05-26 16:12:08,104,117,109,0,234
2024-05-26 16:12:08,98,116,116,0,234
2024-05-26 16:12:08,88,116,122,0,234
2024-05-26 16:12:08,82,116,128,0,234
2024-05-26 16:12:08,79,116,126,0,234
2024-05-26 16:12:08,81,116,122,0,234
2024-05-26 16:12:08,85,116,122,0,234
2024-05-26 16:12:08,89,117,121,0,234
2024-05-26 16:12:08,96,116,121,0,234
2024-05-26 16:12:08,103,116,120,0,235
2024-05-26 16:12:08,109,117,123,0,234
2024-05-26 16:12:08,113,116,124,0,234
2024-05-26 16:12:08,118,116,125,0,234
2024-05-26 16:12:08,127,116,126,0,234
2024-05-26 16:12:08,134,116,126,0,234
2024-05-26 16:12:08,142,116,119,0,234
2024-05-26 16:12:08,151,116,113,0,234
2024-05-26 16:12:08,159,117,114,0,234
2024-05-26 16:12:08,164,116,119,0,234
2024-05-26 16:12:08,164,116,123,0,234
2024-05-26 16:12:08,158,118,128,0,234
2024-05-26 16:12:08,151,123,127,0,234
2024-05-26 16:12:08,140,105,119,0,234
2024-05-26 16:12:08,130,83,112,0,234
2024-05-26 16:12:08,122,94,106,0,234
2024-05-26 16:12:08,114,107,99,0,234
2024-05-26 16:12:08,88,115,91,0,235
2024-05-26 16:12:08,59,117,83,0,234
2024-05-26 16:12:08,39,116,81,0,234
2024-05-26 16:12:08,24,115,79,0,234
2024-05-26 16:12:08,14,116,75,0,235
2024-05-26 16:12:08,7,116,79,0,234
2024-05-26 16:12:08,6,117,81,0,234
2024-05-26 16:12:08,6,116,79,0,234
2024-05-26 16:12:08,3,116,73,0,234
2024-05-26 16:12:08,0,115,66,0,234
2024-05-26 16:12:08,0,116,68,0,234
2024-05-26 16:12:08,0,116,77,0,234
2024-05-26 16:12:08,0,116,85,0,235
2024-05-26 16:12:08,0,115,84,0,234
2024-05-26 16:12:08,0,116,81,0,234
2024-05-26 16:12:08,0,116,81,0,234
2024-05-26 16:12:08,0,116,82,0,234
2024-05-26 16:12:08,0,116,84,0,234
2024-05-26 16:12:08,0,116,80,0,234
2024-05-26 16:12:08,0,117,79,16,234
2024-05-26 16:12:08,0,117,83,32,234
2024-05-26 16:12:08,0,117,88,44,234
2024-05-26 16:12:08,0,116,91,52,234
2024-05-26 16:12:08,0,116,94,58,234
2024-05-26 16:12:08,0,117,97,63,234
2024-05-26 16:12:08,5,117,101,67,234
2024-05-26 16:12:08,38,116,104,69,234
2024-05-26 16:12:08,65,116,106,71,234
2024-05-26 16:12:08,76,116,107,72,234
2024-05-26 16:12:08,76,116,106,75,234
2024-05-26 16:12:08,66,116,107,78,234
2024-05-26 16:12:08,53,116,105,83,234
2024-05-26 16:12:08,41,116,103,88,234
2024-05-26 16:12:08,39,115,97,93,235
2024-05-26 16:12:08,45,76,95,96,234
2024-05-26 16:12:08,50,0,99,96,234
2024-05-26 16:12:08,39,0,95,92,235
2024-05-26 16:12:08,0,81,89,234,235
2024-05-26 16:12:08,0,0,61,91,234
2024-05-26 16:12:08,0,0,39,102,234
2024-05-26 16:12:08,0,0,17,122,234
2024-05-26 16:12:08,0,25,5,152,234
2024-05-26 16:12:08,0,78,5,187,234
2024-05-26 16:12:08,0,112,17,223,234
2024-05-26 16:12:08,0,122,32,234,234
2024-05-26 16:12:08,0,120,36,234,235
2024-05-26 16:12:08,0,115,28,235,234
2024-05-26 16:12:08,0,113,16,235,234
2024-05-26 16:12:08,0,113,3,234,235
2024-05-26 16:12:08,0,112,0,234,234
2024-05-26 16:12:08,0,111,0,234,234
2024-05-26 16:12:08,0,112,0,235,235
2024-05-26 16:12:08,0,113,0,235,235
2024-05-26 16:12:08,0,115,0,234,234
2024-05-26 16:12:08,0,116,0,234,234
2024-05-26 16:12:08,0,116,0,235,234
2024-05-26 16:12:08,0,117,0,235,235
2024-05-26 16:12:08,0,118,0,234,234
2024-05-26 16:12:08,0,118,0,235,234
2024-05-26 16:12:08,0,118,0,235,234
2024-05-26 16:12:08,0,118,0,234,234
2024-05-26 16:12:08,0,118,0,234,235
2024-05-26 16:12:08,0,118,0,235,234
2024-05-26 16:12:08,0,118,0,235,235
2024-05-26 16:12:08,0,118,0,235,234
2024-05-26 16:12:08,0,117,0,235,235
2024-05-26 16:12:08,0,118,0,234,235
2024-05-26 16:12:08,0,118,0,234,234
2024-05-26 16:12:08,0,117,0,235,234
2024-05-26 16:12:08,0,117,0,235,235
2024-05-26 16:12:08,0,117,0,235,234
2024-05-26 16:12:08,0,117,0,235,234
2024-05-26 16:12:08,0,117,0,234,234
2024-05-26 16:12:08,0,118,0,234,234
2024-05-26 16:12:08,0,138,0,234,234
2024-05-26 16:12:08,0,181,0,223,235
2024-05-26 16:12:08,0,235,0,168,235
2024-05-26 16:12:08,0,235,0,121,235
2024-05-26 16:12:08,0,235,0,109,234
2024-05-26 16:12:08,0,236,0,112,234
2024-05-26 16:12:08,0,236,0,116,234
2024-05-26 16:12:08,0,235,20,119,235
2024-05-26 16:12:08,0,236,58,119,234
2024-05-26 16:12:08,0,235,87,119,234
2024-05-26 16:12:08,0,235,102,117,234
2024-05-26 16:12:08,0,235,108,117,234
2024-05-26 16:12:08,0,235,112,117,234
2024-05-26 16:12:08,0,235,115,118,234
2024-05-26 16:12:08,0,236,119,117,234
2024-05-26 16:12:08,0,236,126,117,234
2024-05-26 16:12:08,0,235,131,117,234
2024-05-26 16:12:08,0,235,131,117,234
2024-05-26 16:12:08,0,235,131,116,234
2024-05-26 16:12:08,0,235,131,116,234
2024-05-26 16:12:08,0,235,131,117,234
2024-05-26 16:12:08,25,235,131,116,234
2024-05-26 16:12:08,99,235,130,117,234
2024-05-26 16:12:08,152,235,136,117,234
2024-05-26 16:12:08,195,236,138,117,234
2024-05-26 16:12:08,224,235,142,116,234
2024-05-26 16:12:08,235,235,143,116,234
2024-05-26 16:12:08,235,235,145,116,234
2024-05-26 16:12:08,235,235,151,116,234
2024-05-26 16:12:08,235,235,157,116,234
2024-05-26 16:12:08,235,235,162,128,234
2024-05-26 16:12:08,235,235,166,156,234
2024-05-26 16:12:08,235,235,168,192,234
2024-05-26 16:12:08,235,235,171,226,234
2024-05-26 16:12:08,235,235,171,235,234
2024-05-26 16:12:08,235,236,174,235,235
2024-05-26 16:12:08,235,235,179,235,235
2024-05-26 16:12:08,236,236,184,234,234
2024-05-26 16:12:08,235,235,190,235,234
2024-05-26 16:12:08,235,235,197,235,234
2024-05-26 16:12:08,235,235,201,234,234
2024-05-26 16:12:08,235,235,200,235,234
2024-05-26 16:12:08,235,235,198,235,234
2024-05-26 16:12:08,235,235,199,235,234
2024-05-26 16:12:08,235,235,198,234,234
2024-05-26 16:12:08,235,236,194,234,234
2024-05-26 16:12:08,235,235,187,235,234
2024-05-26 16:12:08,235,235,186,235,235
2024-05-26 16:12:08,235,235,192,234,234
2024-05-26 16:12:08,235,236,193,234,234
2024-05-26 16:12:08,235,235,192,235,235
2024-05-26 16:12:08,235,235,192,235,235
