Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5
2024-02-29 14:59:23,117,113,126,112,107
2024-02-29 14:59:23,122,118,127,119,124
2024-02-29 14:59:23,127,125,122,122,122
2024-02-29 14:59:23,127,127,127,127,127
2024-02-29 14:59:23,131,128,132,131,129
2024-02-29 14:59:23,131,133,138,127,136
2024-02-29 14:59:23,140,142,129,140,132
2024-02-29 14:59:23,140,140,149,127,146
2024-02-29 14:59:23,147,149,155,147,131
2024-02-29 14:59:23,143,154,127,141,168
2024-02-29 14:59:23,161,154,164,141,161
2024-02-29 14:59:23,152,168,178,159,155
2024-02-29 14:59:23,171,160,149,148,172
2024-02-29 14:59:23,167,179,134,186,131
2024-02-29 14:59:23,190,164,134,127,187
2024-02-29 14:59:23,133,161,191,132,163
2024-02-29 14:59:23,162,147,162,155,162
2024-02-29 14:59:23,157,180,184,196,131
2024-02-29 14:59:23,186,200,169,197,200
2024-02-29 14:59:23,127,133,167,133,193
2024-02-29 14:59:23,190,165,198,198,157
2024-02-29 14:59:23,160,197,170,160,163
2024-02-29 14:59:23,190,163,163,190,155
2024-02-29 14:59:23,169,203,203,198,195
2024-02-29 14:59:23,134,201,201,201,149
2024-02-29 14:59:23,155,200,119,157,119
2024-02-29 14:59:23,154,171,165,198,195
2024-02-29 14:59:23,197,211,211,119,211
2024-02-29 14:59:23,212,188,203,141,180
2024-02-29 14:59:23,141,181,151,127,200
2024-02-29 14:59:23,209,164,127,169,176
2024-02-29 14:59:23,170,149,190,130,219
2024-02-29 14:59:23,203,214,180,161,169
2024-02-29 14:59:23,213,124,203,170,170
2024-02-29 14:59:23,178,169,169,180,213
2024-02-29 14:59:23,118,118,161,153,135
2024-02-29 14:59:23,127,161,126,119,178
2024-02-29 14:59:23,130,178,175,181,119
2024-02-29 14:59:23,135,178,153,203,169
2024-02-29 14:59:23,166,174,107,173,210
2024-02-29 14:59:23,121,217,118,168,120
2024-02-29 14:59:23,217,204,157,117,116
2024-02-29 14:59:23,207,167,215,170,159
2024-02-29 14:59:23,124,150,202,97,214
2024-02-29 14:59:23,155,109,171,147,120
2024-02-29 14:59:23,151,171,195,98,120
